,Unnamed: 0,Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
81,1,47,0,0,2,0.7864669061461882,1.6846487216685089,24.798647378115678,25.59825725779933,29.781580528505632,33.28130461382739,34.96598222517059,38.28169005328505,2.75,1.75,1.75,1.75,1,1,1750,55,1,0,47,guilty,0.0,0,0,15
82,2,51,0,0,1,0.9237265047406708,1.5416353238074407,42.297982732751045,43.23105925272286,49.280753150163044,52.780733585636426,54.3223952392741,58.781150108921345,4.75,1.75,2.75,1.75,0,1,1750,55,1,0,47,afraid,0.0,0,1,16
83,3,0,0,1,0,0.5475405195973053,0.0,62.79769328746579,63.363633238631344,66.78033790680047,70.28030700581917,0.0,0.0,1.75,1.75,4.75,2.5,0,1,1750,55,1,0,47,distressed,0.0,0,1,16
84,4,50,0,0,1,0.5459768202413215,1.4550328556053955,83.0467431280058,83.59275834591608,88.02974466281535,91.5294683824452,92.98452756788059,96.52975142811896,2.75,1.75,1.75,2.5,1,1,1750,55,1,0,97,nervous,0.0,0,1,16
85,5,50,0,0,1,0.7268971282567236,0.7509574733019235,101.29630713161735,102.0290820287573,105.27921943755837,111.77913258568809,112.53011638882003,116.7958516621254,1.75,4.75,1.75,2.5,0,1,1750,55,1,0,97,scared,0.0,0,0,16
86,6,54,0,0,1,0.9120108274112226,1.0563337686287468,121.54565610828286,122.46199746136564,126.52850917210594,130.02813964025404,131.08449900732876,135.04528182243394,2.75,1.75,1.75,1.75,1,1,1750,55,1,0,151,active,0.0,0,1,16
87,7,53,0,0,1,0.5151434920885549,1.251372716664264,139.0450880056287,139.57786334159934,146.02794838329373,152.5275996958903,153.7789994737691,160.54408253524068,4.75,4.75,4.75,1.75,0,1,1750,55,1,0,151,alert,0.0,0,1,16
88,8,56,0,0,11,0.0,1.3776681351641855,0.0,0.0,0.0,163.79404441184082,165.17173851114333,168.7942188469656,2.75,4.75,1.75,1.75,1,1,1750,55,1,0,207,irritable,-0.9500000000000004,2,1,16
89,9,65,0,0,2,1.558667066977705,1.0829162919844748,183.29360027880372,184.8523053777581,187.2766606900391,191.77631383109656,192.85925681860317,196.7933740982489,1.75,2.75,1.75,3.25,1,1,1750,55,1,0,272,strong,0.0,0,0,17
90,10,68,0,0,1,1.152496890702878,1.6390194917535157,202.29312743893752,203.4456616302332,206.29275479870284,209.79257762088764,211.43162307677952,215.79275790708562,1.75,1.75,2.75,1.75,0,1,1750,55,1,0,272,attentive,0.0,0,0,18
91,11,66,0,0,22,0.0,1.5499932164116217,0.0,0.0,0.0,219.04222756213952,220.5922460113052,227.04231240270286,1.75,1.75,4.75,2.5,1,1,1750,55,1,0,338,distressed,-0.9500000000000004,2,0,18
92,12,73,0,0,1,1.5222858242022994,0.751023663568958,238.30857500399497,239.83089849448243,242.29142477658982,248.7912859964431,249.54233672122655,253.791710564954,1.75,4.75,1.75,3.25,0,1,1750,55,1,0,338,upset,0.0,0,1,19
93,13,65,0,0,2,1.3581716273406528,1.6704942438236683,259.308071080302,260.6662800082354,266.29060306647443,269.790511094915,271.461031302877,274.79089031760714,4.75,1.75,1.75,3.25,0,1,1750,55,1,0,338,distressed,0.0,0,1,19
94,14,73,0,0,1,0.5984620453668867,1.5566202883774167,280.3072146294389,280.92361058034976,287.2900084511439,290.7898736936108,292.3465203118185,295.790059830882,4.75,1.75,1.75,1.75,1,1,1750,55,1,0,411,nervous,0.0,0,0,20
95,15,65,0,0,2,1.3306788963855072,1.8657628464889056,299.8065379162354,301.13725447890516,303.7895281145902,307.28934691416225,309.15513645617335,315.2899565228681,1.75,1.75,4.75,2.5,0,1,1750,55,1,0,411,scared,0.0,0,0,20
96,16,64,0,0,2,1.035178847199404,1.5708628980146386,320.0558821389036,321.1055200854548,324.0387981017657,328.5386073933432,330.10949735257236,336.5390180655545,1.75,2.75,4.75,1.75,0,1,1750,55,1,0,411,strong,0.0,0,1,20
97,17,62,0,0,2,0.7536453101270126,1.4288090761851888,340.55541131034437,341.32158559699786,344.53823255895577,351.0379943105627,352.4668300822696,356.0548282143145,1.75,4.75,1.75,1.75,1,1,1750,55,1,0,473,afraid,0.0,0,1,20
98,18,83,0,0,11,0.0,1.341960497209584,0.0,0.0,0.0,359.2877250697648,360.62971262818877,365.3046522249988,1.75,2.75,2.75,2.5,0,1,1750,55,1,0,473,proud,2.6999999999999984,2,1,20
99,19,63,0,0,2,0.8341527883471826,1.6140880681618908,377.5542440212089,378.388435207225,381.5371669322199,386.0369019883046,387.6510160206044,392.05377867803054,1.75,2.75,2.75,3.25,0,1,1750,55,1,0,473,interested,0.0,0,1,20
100,20,62,0,0,2,0.5743914609433887,0.0,397.57038164723053,398.1531302693943,402.5564290314169,0.0,0.0,0.0,2.75,2.75,1.75,1.75,1,1,1750,55,1,0,473,alert,1.2000000000000004,1,0,20
101,21,85,0,0,1,0.8503401484927053,1.1314809322661858,414.3030431798243,415.1693534673645,419.285791290019,423.78573625336054,424.9172438811488,429.80257125418854,2.75,2.75,2.75,2.5,0,1,1750,55,1,0,473,excited,0.0,0,0,21
102,22,81,0,0,1,0.6653708977119095,0.0,434.5524345767717,435.2178424093841,438.5358402013353,0.0,0.0,0.0,1.75,4.75,1.75,1.75,1,1,1750,55,1,0,473,determined,2.8999999999999977,1,1,22
103,23,53,0,0,2,1.7244853889555998,1.1800905526743009,452.30186309146575,454.0348285141822,457.3012490944548,460.8011644367375,461.9812809535492,466.80149831361086,2.75,1.75,2.75,1.75,0,1,1750,55,1,0,473,nervous,0.0,0,0,22
104,24,50,0,0,2,1.5957094810428316,1.4911895634400023,470.8180341783136,472.41389980987645,475.8007610783675,480.30055866779816,481.7917749267608,488.3009386218746,2.75,2.75,4.75,1.75,0,1,1750,55,1,0,473,excited,0.0,0,0,22
105,25,81,0,0,1,0.41618648248459067,1.3730158004582336,492.3172093598159,492.7500527510832,496.3001202029882,502.80001982051084,504.17306231649127,507.80020412932214,1.75,4.75,1.75,1.75,0,1,1750,55,1,0,473,excited,0.0,0,0,23
